time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,
0,-7.70522,0.681504,0.338404,-7.64023,1.16735,0.730709,-6.16,0.997978,0.702889,-4.84537,1.73976,1.38995,0,-6.16,0.784564,0.740379,-4.77534,1.35843,1.47598,0,-6.16,0.912422,0.108646,-4.77813,1.59506,0.305146,0,-6.16,0.48271,0.407523,-4.73801,0.79398,0.860527,0,-6.16,0.481356,0.272836,-4.7746,0.796178,0.609111,0,-6.16,0.539122,0.733841,-4.74746,0.900804,1.47099,0,-6.16,0.483282,0.127048,-4.80857,0.804106,0.343393,0,-6.16,1.03255,0.284288,-4.78275,1.81652,0.630634,0,-6.16,0.722866,0.46781,-4.69686,1.24614,0.977204,0,-6.16,0.617321,0.355331,-4.74109,1.04693,0.762466,0,-6.16,0.648886,0.190511,-4.60907,1.10337,0.440597,0,-6.16,0.737959,0.639626,-4.79742,1.27122,1.28488,0,-6.16,0.851632,0.430469,-4.81285,1.47865,0.899165,0,-6.16,0.879889,0.249254,-4.73603,1.54021,0.563154,0,-6.16,0.381968,0.694251,-4.90508,0.637154,1.36058,0,-6.16,0.728665,0.100145,-4.66408,1.25819,0.271814,0,-6.16,0.566561,0.484418,-4.77022,0.953864,1.00191,0,-6.16,0.338761,0.116253,-4.81372,0.540412,0.324351,0,-6.16,0.310586,0.303324,-4.83323,0.493557,0.666983,0,-6.16,0.161362,0.645123,-4.8451,0.226478,1.28553,0,-6.16,-0.0449858,0.651061,-4.85309,-0.143027,1.29465,0,-6.16,-0.0533272,0.353369,-5.1005,-0.0404133,0.755305,0,-6.16,-0.118786,0.460535,-4.99769,-0.201251,0.939569,0,-6.16,0.210997,0.372626,-4.92717,0.341252,0.790794,0,-6.16,0.123744,0.253731,-4.90039,0.17839,0.580575,0,-6.16,-0.113114,0.0698454,-5.01232,-0.184026,0.27398,0,-6.16,0.371237,0.474909,-4.79965,0.596991,0.981644,0,-6.16,0.0111639,0.54262,-4.95666,0.0031811,1.08537,0,-6.16,-0.0903316,0.751025,-5.06338,-0.119776,1.4188,0,-6.16,0.0600319,0.739201,-4.91568,0.0715712,1.43739,0,-6.16,0.0867777,0.0875114,-4.85511,0.0954157,0.278498,0,
0.0333341,-7.70577,0.654255,0.338129,-7.63996,1.17194,0.730782,-6.16,0.997978,0.702889,-4.9072,1.75872,1.37411,0,-6.16,0.784564,0.740379,-4.84584,1.3874,1.45602,0,-6.16,0.912422,0.108646,-4.942,1.61121,0.33011,0,-6.16,0.48271,0.407523,-4.84495,0.845311,0.848374,0,-6.16,0.481356,0.272836,-4.90375,0.850945,0.609064,0,-6.16,0.539122,0.733841,-4.81624,0.941258,1.45135,0,-6.16,0.483282,0.127048,-4.87735,0.847243,0.350369,0,-6.16,1.03255,0.284288,-4.86872,1.83076,0.632285,0,-6.16,0.722866,0.46781,-4.81194,1.27983,0.96504,0,-6.16,0.617321,0.355331,-4.83875,1.08696,0.761726,0,-6.16,0.648886,0.190511,-4.68404,1.14079,0.447458,0,-6.16,0.737959,0.639626,-4.83554,1.29778,1.28359,0,-6.16,0.851632,0.430469,-4.88537,1.50129,0.894377,0,-6.16,0.879889,0.249254,-4.81461,1.56506,0.567322,0,-6.16,0.381968,0.694251,-4.98252,0.687652,1.34272,0,-6.16,0.728665,0.100145,-4.76198,1.29148,0.285643,0,-6.16,0.566561,0.484418,-4.9193,1.00321,0.984065,0,-6.16,0.338761,0.116253,-4.91418,0.600841,0.339846,0,-6.16,0.310586,0.303324,-4.8716,0.534502,0.667361,0,-6.16,0.161362,0.645123,-4.88569,0.27429,1.27609,0,-6.16,-0.0449858,0.651061,-4.8638,-0.104084,1.29492,0,-6.16,-0.0533272,0.353369,-5.12992,0.00579023,0.756255,0,-6.16,-0.118786,0.460535,-5.05814,-0.130475,0.942355,0,-6.16,0.210997,0.372626,-5.01413,0.401777,0.791147,0,-6.16,0.123744,0.253731,-5.00152,0.254248,0.585914,0,-6.16,-0.113114,0.0698454,-5.04254,-0.136402,0.280488,0,-6.16,0.371237,0.474909,-4.84449,0.636544,0.977854,0,-6.16,0.0111639,0.54262,-5.02377,0.0673012,1.07438,0,-6.16,-0.0903316,0.751025,-5.12235,-0.0507112,1.39937,0,-6.16,0.0600319,0.739201,-4.97319,0.130692,1.42267,0,-6.16,0.0867777,0.0875114,-4.9107,0.152316,0.286698,0,
0.0666681,-7.70577,0.654255,0.338129,-7.64145,1.1445,0.730338,-6.16,0.997978,0.702889,-5.03122,1.7292,1.34386,0,-6.16,0.784564,0.740379,-4.99182,1.37437,1.4162,0,-6.16,0.912422,0.108646,-5.12969,1.5786,0.35684,0,-6.16,0.48271,0.407523,-5.04594,0.869021,0.836622,0,-6.16,0.481356,0.272836,-5.06701,0.867033,0.616625,0,-6.16,0.539122,0.733841,-4.94635,0.948696,1.41491,0,-6.16,0.483282,0.127048,-5.03041,0.863491,0.369483,0,-6.16,1.03255,0.284288,-4.99912,1.79615,0.634974,0,-6.16,0.722866,0.46781,-4.9959,1.27181,0.950716,0,-6.16,0.617321,0.355331,-4.99653,1.08907,0.760891,0,-6.16,0.648886,0.190511,-4.91646,1.14718,0.471178,0,-6.16,0.737959,0.639626,-4.9535,1.28982,1.25695,0,-6.16,0.851632,0.430469,-5.03572,1.48133,0.885395,0,-6.16,0.879889,0.249254,-4.94849,1.54306,0.57501,0,-6.16,0.381968,0.694251,-5.09268,0.702218,1.31407,0,-6.16,0.728665,0.100145,-4.95983,1.28398,0.318864,0,-6.16,0.566561,0.484418,-5.10503,1.01237,0.964941,0,-6.16,0.338761,0.116253,-5.06416,0.629397,0.362201,0,-6.16,0.310586,0.303324,-4.99424,0.560063,0.673977,0,-6.16,0.161362,0.645123,-5.05257,0.331262,1.24227,0,-6.16,-0.0449858,0.651061,-4.96922,-0.0552142,1.2737,0,-6.16,-0.0533272,0.353369,-5.26373,0.0685691,0.758063,0,-6.16,-0.118786,0.460535,-5.17375,-0.0743046,0.931092,0,-6.16,0.210997,0.372626,-5.21224,0.461147,0.789755,0,-6.16,0.123744,0.253731,-5.21779,0.332128,0.595303,0,-6.16,-0.113114,0.0698454,-5.127,-0.0978093,0.294926,0,-6.16,0.371237,0.474909,-4.9819,0.661321,0.963816,0,-6.16,0.0111639,0.54262,-5.13964,0.112977,1.05835,0,-6.16,-0.0903316,0.751025,-5.20647,-0.0161475,1.3794,0,-6.16,0.0600319,0.739201,-5.06971,0.163641,1.39689,0,-6.16,0.0867777,0.0875114,-5.1047,0.228564,0.314241,0,
0.100002,-7.70634,0.626637,0.337886,-7.6423,1.12921,0.730092,-6.16,0.997978,0.702889,-5.1122,1.71755,1.32662,0,-6.16,0.784564,0.740379,-5.08161,1.37277,1.39808,0,-6.16,0.912422,0.108646,-5.22309,1.56786,0.37173,0,-6.16,0.48271,0.407523,-5.1477,0.885802,0.834998,0,-6.16,0.481356,0.272836,-5.16266,0.883539,0.621042,0,-6.16,0.539122,0.733841,-5.06151,0.966563,1.38337,0,-6.16,0.483282,0.127048,-5.14931,0.885137,0.386923,0,-6.16,1.03255,0.284288,-5.08773,1.78121,0.641254,0,-6.16,0.722866,0.46781,-5.10149,1.27328,0.943807,0,-6.16,0.617321,0.355331,-5.11501,1.09985,0.761467,0,-6.16,0.648886,0.190511,-5.04814,1.15495,0.483187,0,-6.16,0.737959,0.639626,-5.03945,1.29198,1.24199,0,-6.16,0.851632,0.430469,-5.12197,1.47586,0.881232,0,-6.16,0.879889,0.249254,-5.04749,1.53606,0.581798,0,-6.16,0.381968,0.694251,-5.16529,0.72059,1.29834,0,-6.16,0.728665,0.100145,-5.06044,1.28361,0.341032,0,-6.16,0.566561,0.484418,-5.21869,1.02534,0.957108,0,-6.16,0.338761,0.116253,-5.13443,0.647601,0.371417,0,-6.16,0.310586,0.303324,-5.12274,0.599278,0.679721,0,-6.16,0.161362,0.645123,-5.10373,0.348798,1.23146,0,-6.16,-0.0449858,0.651061,-5.02663,-0.0239977,1.26206,0,-6.16,-0.0533272,0.353369,-5.32753,0.102064,0.757771,0,-6.16,-0.118786,0.460535,-5.23186,-0.0406098,0.92466,0,-6.16,0.210997,0.372626,-5.31383,0.495487,0.790614,0,-6.16,0.123744,0.253731,-5.29837,0.362916,0.600723,0,-6.16,-0.113114,0.0698454,-5.21075,-0.0459986,0.309685,0,-6.16,0.371237,0.474909,-5.0727,0.684713,0.955924,0,-6.16,0.0111639,0.54262,-5.2006,0.143114,1.0504,0,-6.16,-0.0903316,0.751025,-5.26979,0.0214937,1.36168,0,-6.16,0.0600319,0.739201,-5.14473,0.200005,1.37836,0,-6.16,0.0867777,0.0875114,-5.20121,0.27005,0.330233,0,
0.133336,-7.70634,0.626637,0.337886,-7.64299,1.11666,0.729889,-6.16,0.997978,0.702889,-5.19458,1.70991,1.30728,0,-6.16,0.784564,0.740379,-5.1706,1.37597,1.37491,0,-6.16,0.912422,0.108646,-5.28476,1.56481,0.38105,0,-6.16,0.48271,0.407523,-5.26718,0.910847,0.829286,0,-6.16,0.481356,0.272836,-5.28526,0.909479,0.62701,0,-6.16,0.539122,0.733841,-5.16957,0.985943,1.35692,0,-6.16,0.483282,0.127048,-5.21879,0.900079,0.395082,0,-6.16,1.03255,0.284288,-5.1437,1.77487,0.644525,0,-6.16,0.722866,0.46781,-5.20123,1.2792,0.93556,0,-6.16,0.617321,0.355331,-5.20337,1.11077,0.756452,0,-6.16,0.648886,0.190511,-5.1619,1.16595,0.494305,0,-6.16,0.737959,0.639626,-5.12303,1.29778,1.22652,0,-6.16,0.851632,0.430469,-5.19762,1.47542,0.876835,0,-6.16,0.879889,0.249254,-5.13567,1.5332,0.587944,0,-6.16,0.381968,0.694251,-5.25604,0.747997,1.27785,0,-6.16,0.728665,0.100145,-5.13236,1.28874,0.351183,0,-6.16,0.566561,0.484418,-5.33668,1.0428,0.948182,0,-6.16,0.338761,0.116253,-5.21828,0.675637,0.383701,0,-6.16,0.310586,0.303324,-5.21853,0.630373,0.682701,0,-6.16,0.161362,0.645123,-5.141,0.367648,1.22649,0,-6.16,-0.0449858,0.651061,-5.0989,0.0215195,1.24829,0,-6.16,-0.0533272,0.353369,-5.40761,0.150699,0.758639,0,-6.16,-0.118786,0.460535,-5.31235,0.0129374,0.91915,0,-6.16,0.210997,0.372626,-5.39513,0.528053,0.787827,0,-6.16,0.123744,0.253731,-5.34661,0.386226,0.602688,0,-6.16,-0.113114,0.0698454,-5.28666,0.00290704,0.320158,0,-6.16,0.371237,0.474909,-5.21688,0.725819,0.9468,0,-6.16,0.0111639,0.54262,-5.26269,0.179381,1.04145,0,-6.16,-0.0903316,0.751025,-5.32296,0.0555857,1.35149,0,-6.16,0.0600319,0.739201,-5.22089,0.240393,1.3603,0,-6.16,0.0867777,0.0875114,-5.27807,0.308147,0.345739,0,
0.16667,-7.70614,0.597058,0.338337,-7.64387,1.10116,0.72964,-6.16,0.997978,0.702889,-5.24971,1.70117,1.29429,0,-6.16,0.784564,0.740379,-5.25887,1.37449,1.3519,0,-6.16,0.912422,0.108646,-5.37072,1.5567,0.394783,0,-6.16,0.48271,0.407523,-5.35461,0.924519,0.826267,0,-6.16,0.481356,0.272836,-5.3426,0.91743,0.629974,0,-6.16,0.539122,0.733841,-5.26599,0.998866,1.3325,0,-6.16,0.483282,0.127048,-5.31302,0.917166,0.40745,0,-6.16,1.03255,0.284288,-5.21568,1.76347,0.648769,0,-6.16,0.722866,0.46781,-5.31477,1.28079,0.926104,0,-6.16,0.617321,0.355331,-5.29692,1.11876,0.755555,0,-6.16,0.648886,0.190511,-5.29205,1.17349,0.506029,0,-6.16,0.737959,0.639626,-5.21238,1.29935,1.20895,0,-6.16,0.851632,0.430469,-5.32871,1.46766,0.866207,0,-6.16,0.879889,0.249254,-5.22645,1.52606,0.593238,0,-6.16,0.381968,0.694251,-5.37861,0.777621,1.24821,0,-6.16,0.728665,0.100145,-5.21947,1.29087,0.36452,0,-6.16,0.566561,0.484418,-5.47918,1.05732,0.938034,0,-6.16,0.338761,0.116253,-5.33424,0.707125,0.399893,0,-6.16,0.310586,0.303324,-5.27005,0.644113,0.6816,0,-6.16,0.161362,0.645123,-5.22003,0.401589,1.21069,0,-6.16,-0.0449858,0.651061,-5.15221,0.0505484,1.23656,0,-6.16,-0.0533272,0.353369,-5.49344,0.196744,0.757671,0,-6.16,-0.118786,0.460535,-5.39036,0.0585506,0.913739,0,-6.16,0.210997,0.372626,-5.46495,0.55227,0.78426,0,-6.16,0.123744,0.253731,-5.40946,0.412669,0.611715,0,-6.16,-0.113114,0.0698454,-5.34247,0.0349373,0.327431,0,-6.16,0.371237,0.474909,-5.31632,0.748778,0.935478,0,-6.16,0.0111639,0.54262,-5.33211,0.214763,1.03076,0,-6.16,-0.0903316,0.751025,-5.38137,0.0903848,1.33412,0,-6.16,0.0600319,0.739201,-5.30115,0.278316,1.33859,0,-6.16,0.0867777,0.0875114,-5.36311,0.345944,0.358924,0,
0.200004,-7.70614,0.597058,0.338337,-7.64455,1.08786,0.729424,-6.16,0.997978,0.702889,-5.35812,1.68798,1.26714,0,-6.16,0.784564,0.740379,-5.38285,1.37375,1.31962,0,-6.16,0.912422,0.108646,-5.48465,1.54616,0.41262,0,-6.16,0.48271,0.407523,-5.53699,0.95498,0.817352,0,-6.16,0.481356,0.272836,-5.45289,0.938976,0.634194,0,-6.16,0.539122,0.733841,-5.36845,1.01453,1.30643,0,-6.16,0.483282,0.127048,-5.47305,0.944704,0.43467,0,-6.16,1.03255,0.284288,-5.31532,1.74882,0.652009,0,-6.16,0.722866,0.46781,-5.42765,1.28313,0.915007,0,-6.16,0.617321,0.355331,-5.42289,1.13047,0.755159,0,-6.16,0.648886,0.190511,-5.43054,1.18178,0.520261,0,-6.16,0.737959,0.639626,-5.32093,1.30235,1.18394,0,-6.16,0.851632,0.430469,-5.44337,1.46042,0.860382,0,-6.16,0.879889,0.249254,-5.34787,1.51776,0.597875,0,-6.16,0.381968,0.694251,-5.51974,0.811034,1.21649,0,-6.16,0.728665,0.100145,-5.32452,1.2943,0.381453,0,-6.16,0.566561,0.484418,-5.57795,1.06814,0.926227,0,-6.16,0.338761,0.116253,-5.48242,0.746473,0.420605,0,-6.16,0.310586,0.303324,-5.36226,0.674103,0.684608,0,-6.16,0.161362,0.645123,-5.37114,0.462461,1.18073,0,-6.16,-0.0449858,0.651061,-5.27547,0.120973,1.20977,0,-6.16,-0.0533272,0.353369,-5.61935,0.264386,0.759204,0,-6.16,-0.118786,0.460535,-5.52473,0.137927,0.898817,0,-6.16,0.210997,0.372626,-5.53219,0.577781,0.785448,0,-6.16,0.123744,0.253731,-5.53137,0.465122,0.616883,0,-6.16,-0.113114,0.0698454,-5.42163,0.0845721,0.33999,0,-6.16,0.371237,0.474909,-5.39711,0.770019,0.927808,0,-6.16,0.0111639,0.54262,-5.45633,0.278348,1.01272,0,-6.16,-0.0903316,0.751025,-5.50669,0.164169,1.29724,0,-6.16,0.0600319,0.739201,-5.42379,0.336923,1.30506,0,-6.16,0.0867777,0.0875114,-5.46415,0.391752,0.373555,0,
0.233338,-7.70622,0.569254,0.338764,-7.64628,1.06078,0.728996,-6.16,0.997978,0.702889,-5.42339,1.66286,1.25504,0,-6.16,0.784564,0.740379,-5.44283,1.35678,1.30458,0,-6.16,0.912422,0.108646,-5.55444,1.52319,0.423483,0,-6.16,0.48271,0.407523,-5.57009,0.942609,0.818322,0,-6.16,0.481356,0.272836,-5.51363,0.93361,0.63897,0,-6.16,0.539122,0.733841,-5.44343,1.00939,1.29004,0,-6.16,0.483282,0.127048,-5.56151,0.942296,0.448751,0,-6.16,1.03255,0.284288,-5.38609,1.72154,0.655833,0,-6.16,0.722866,0.46781,-5.46039,1.26774,0.913115,0,-6.16,0.617321,0.355331,-5.48694,1.11981,0.755037,0,-6.16,0.648886,0.190511,-5.46057,1.16689,0.522169,0,-6.16,0.737959,0.639626,-5.40641,1.28811,1.16788,0,-6.16,0.851632,0.430469,-5.52223,1.43965,0.857046,0,-6.16,0.879889,0.249254,-5.42162,1.496,0.604342,0,-6.16,0.381968,0.694251,-5.55052,0.800923,1.21226,0,-6.16,0.728665,0.100145,-5.40642,1.27992,0.396841,0,-6.16,0.566561,0.484418,-5.66038,1.06179,0.917712,0,-6.16,0.338761,0.116253,-5.5647,0.751203,0.434411,0,-6.16,0.310586,0.303324,-5.47684,0.691312,0.686781,0,-6.16,0.161362,0.645123,-5.45752,0.478793,1.16371,0,-6.16,-0.0449858,0.651061,-5.33386,0.135036,1.20066,0,-6.16,-0.0533272,0.353369,-5.67847,0.2779,0.762273,0,-6.16,-0.118786,0.460535,-5.67348,0.203769,0.889621,0,-6.16,0.210997,0.372626,-5.59652,0.585751,0.785158,0,-6.16,0.123744,0.253731,-5.56416,0.461323,0.621419,0,-6.16,-0.113114,0.0698454,-5.47309,0.0994599,0.351074,0,-6.16,0.371237,0.474909,-5.42891,0.762605,0.926728,0,-6.16,0.0111639,0.54262,-5.50983,0.287486,1.00895,0,-6.16,-0.0903316,0.751025,-5.5358,0.162554,1.29019,0,-6.16,0.0600319,0.739201,-5.50005,0.355115,1.28707,0,-6.16,0.0867777,0.0875114,-5.50485,0.393522,0.382202,0,
0.266672,-7.70622,0.569254,0.338764,-7.64732,1.04526,0.728752,-6.16,0.997978,0.702889,-5.45643,1.65602,1.24494,0,-6.16,0.784564,0.740379,-5.49786,1.35423,1.29096,0,-6.16,0.912422,0.108646,-5.60913,1.51538,0.431234,0,-6.16,0.48271,0.407523,-5.61511,0.949583,0.814569,0,-6.16,0.481356,0.272836,-5.58098,0.943269,0.640356,0,-6.16,0.539122,0.733841,-5.50484,1.01568,1.27516,0,-6.16,0.483282,0.127048,-5.64573,0.953094,0.455473,0,-6.16,1.03255,0.284288,-5.43863,1.71063,0.655255,0,-6.16,0.722866,0.46781,-5.5074,1.2681,0.908984,0,-6.16,0.617321,0.355331,-5.56231,1.12387,0.751265,0,-6.16,0.648886,0.190511,-5.49854,1.16891,0.525175,0,-6.16,0.737959,0.639626,-5.46244,1.28622,1.15947,0,-6.16,0.851632,0.430469,-5.60881,1.43064,0.855937,0,-6.16,0.879889,0.249254,-5.46979,1.49009,0.606334,0,-6.16,0.381968,0.694251,-5.59603,0.811463,1.19702,0,-6.16,0.728665,0.100145,-5.42278,1.2773,0.39634,0,-6.16,0.566561,0.484418,-5.68545,1.06189,0.9145,0,-6.16,0.338761,0.116253,-5.65748,0.772247,0.448444,0,-6.16,0.310586,0.303324,-5.56023,0.710998,0.685467,0,-6.16,0.161362,0.645123,-5.5269,0.503079,1.14721,0,-6.16,-0.0449858,0.651061,-5.38767,0.162856,1.1897,0,-6.16,-0.0533272,0.353369,-5.69243,0.280375,0.76772,0,-6.16,-0.118786,0.460535,-5.73578,0.234078,0.883998,0,-6.16,0.210997,0.372626,-5.62565,0.593968,0.783564,0,-6.16,0.123744,0.253731,-5.63764,0.490778,0.625371,0,-6.16,-0.113114,0.0698454,-5.50241,0.114872,0.359651,0,-6.16,0.371237,0.474909,-5.46074,0.770105,0.921361,0,-6.16,0.0111639,0.54262,-5.58661,0.323803,0.997467,0,-6.16,-0.0903316,0.751025,-5.65092,0.226143,1.25599,0,-6.16,0.0600319,0.739201,-5.55172,0.376288,1.27513,0,-6.16,0.0867777,0.0875114,-5.55041,0.412792,0.390484,0,
0.300007,-7.70736,0.542181,0.338413,-7.64802,1.03356,0.728565,-6.16,0.997978,0.702889,-5.51751,1.65092,1.22849,0,-6.16,0.784564,0.740379,-5.55379,1.35588,1.27203,0,-6.16,0.912422,0.108646,-5.66301,1.51222,0.434455,0,-6.16,0.48271,0.407523,-5.6354,0.956099,0.810638,0,-6.16,0.481356,0.272836,-5.64086,0.955702,0.641643,0,-6.16,0.539122,0.733841,-5.57548,1.02769,1.25277,0,-6.16,0.483282,0.127048,-5.69002,0.962465,0.460856,0,-6.16,1.03255,0.284288,-5.54098,1.69435,0.653048,0,-6.16,0.722866,0.46781,-5.57957,1.27185,0.89882,0,-6.16,0.617321,0.355331,-5.61925,1.13072,0.750963,0,-6.16,0.648886,0.190511,-5.55801,1.17596,0.527264,0,-6.16,0.737959,0.639626,-5.52282,1.28984,1.14365,0,-6.16,0.851632,0.430469,-5.65451,1.42944,0.848276,0,-6.16,0.879889,0.249254,-5.51104,1.49015,0.605764,0,-6.16,0.381968,0.694251,-5.65252,0.828085,1.18198,0,-6.16,0.728665,0.100145,-5.51656,1.28295,0.410318,0,-6.16,0.566561,0.484418,-5.72421,1.0702,0.908867,0,-6.16,0.338761,0.116253,-5.69703,0.78373,0.449192,0,-6.16,0.310586,0.303324,-5.62621,0.731163,0.684061,0,-6.16,0.161362,0.645123,-5.6163,0.539205,1.12701,0,-6.16,-0.0449858,0.651061,-5.43468,0.191882,1.17519,0,-6.16,-0.0533272,0.353369,-5.74138,0.312847,0.763353,0,-6.16,-0.118786,0.460535,-5.78083,0.262454,0.880969,0,-6.16,0.210997,0.372626,-5.63132,0.59953,0.785867,0,-6.16,0.123744,0.253731,-5.65057,0.497813,0.62245,0,-6.16,-0.113114,0.0698454,-5.56648,0.156858,0.367252,0,-6.16,0.371237,0.474909,-5.50248,0.784196,0.912904,0,-6.16,0.0111639,0.54262,-5.64413,0.35378,0.985594,0,-6.16,-0.0903316,0.751025,-5.6989,0.253472,1.23962,0,-6.16,0.0600319,0.739201,-5.60237,0.403148,1.25811,0,-6.16,0.0867777,0.0875114,-5.60615,0.440329,0.396031,0,
0.33334,-7.70842,0.531314,0.337817,-7.64871,1.0227,0.728393,-6.16,0.997978,0.702889,-5.53732,1.65047,1.22391,0,-6.16,0.784564,0.740379,-5.56858,1.3582,1.2675,0,-6.16,0.912422,0.108646,-5.67667,1.51354,0.435873,0,-6.16,0.48271,0.407523,-5.63983,0.96095,0.809798,0,-6.16,0.481356,0.272836,-5.69222,0.96647,0.643233,0,-6.16,0.539122,0.733841,-5.59834,1.03289,1.25035,0,-6.16,0.483282,0.127048,-5.73121,0.972195,0.469253,0,-6.16,1.03255,0.284288,-5.56758,1.691,0.654449,0,-6.16,0.722866,0.46781,-5.60221,1.27448,0.897024,0,-6.16,0.617321,0.355331,-5.61347,1.13237,0.750353,0,-6.16,0.648886,0.190511,-5.58192,1.18027,0.531354,0,-6.16,0.737959,0.639626,-5.58568,1.29224,1.12847,0,-6.16,0.851632,0.430469,-5.65228,1.43196,0.846736,0,-6.16,0.879889,0.249254,-5.52581,1.49231,0.606714,0,-6.16,0.381968,0.694251,-5.66602,0.833984,1.1785,0,-6.16,0.728665,0.100145,-5.54788,1.28485,0.416613,0,-6.16,0.566561,0.484418,-5.71598,1.07163,0.906766,0,-6.16,0.338761,0.116253,-5.70531,0.789435,0.451207,0,-6.16,0.310586,0.303324,-5.66915,0.745561,0.685141,0,-6.16,0.161362,0.645123,-5.64308,0.550999,1.12175,0,-6.16,-0.0449858,0.651061,-5.44363,0.199218,1.17494,0,-6.16,-0.0533272,0.353369,-5.7626,0.326909,0.763732,0,-6.16,-0.118786,0.460535,-5.78892,0.269486,0.882453,0,-6.16,0.210997,0.372626,-5.63855,0.607246,0.785011,0,-6.16,0.123744,0.253731,-5.67339,0.512152,0.623819,0,-6.16,-0.113114,0.0698454,-5.58398,0.169062,0.370203,0,-6.16,0.371237,0.474909,-5.5267,0.793831,0.910888,0,-6.16,0.0111639,0.54262,-5.65839,0.363299,0.984492,0,-6.16,-0.0903316,0.751025,-5.72646,0.271947,1.23303,0,-6.16,0.0600319,0.739201,-5.61962,0.413854,1.2536,0,-6.16,0.0867777,0.0875114,-5.64818,0.461052,0.401548,0,
