time,px,py,pz,qw,qx,qy,qz,pxHat,pyHat,pzHat,qwHat,qxHat,qyHat,qzHat,mode,
0.17972,7.69205,0.36893,0.119787,0.719694,0.020371,-0.00443732,0.693978,7.69234,0.376435,0.120047,0.721043,0.0203796,-0.00439768,0.692577,0,
0.239585,7.69257,0.383523,0.1203,0.720385,0.0203608,-0.00439602,0.693262,7.69267,0.384534,0.120328,0.721525,0.0203827,-0.00438349,0.692075,0,
0.297504,7.69286,0.39249,0.120613,0.719887,0.020345,-0.00439199,0.693779,7.69305,0.393528,0.120639,0.721083,0.0203799,-0.00439649,0.692535,0,
0.320516,7.69302,0.396704,0.120759,0.719653,0.0203435,-0.00439886,0.694022,7.69322,0.397571,0.120779,0.720851,0.0203784,-0.00440331,0.692776,0,
0.380411,7.69332,0.407887,0.121142,0.719703,0.0203346,-0.00439602,0.693971,7.69367,0.408847,0.121169,0.720881,0.0203786,-0.00440244,0.692745,0,
0.438238,7.69363,0.41974,0.121538,0.719436,0.0203026,-0.00436069,0.694248,7.69415,0.420756,0.121582,0.720638,0.020377,-0.00440959,0.692998,0,
0.46028,7.69363,0.41974,0.121538,0.719436,0.0203026,-0.00436069,0.694248,7.69433,0.425488,0.121746,0.720341,0.0203751,-0.00441833,0.693307,0,
0.520246,7.69412,0.437789,0.122139,0.719464,0.0203102,-0.00433973,0.694219,7.69485,0.438905,0.122211,0.720674,0.0203773,-0.00440852,0.692961,0,
0.580075,7.69453,0.454007,0.122657,0.718578,0.0203105,-0.00437373,0.695136,7.6955,0.455149,0.122773,0.719828,0.0203719,-0.00443339,0.69384,0,
0.638011,7.69497,0.472549,0.123242,0.718916,0.0203483,-0.00431938,0.694785,7.69619,0.473756,0.123419,0.720146,0.0203739,-0.00442404,0.693509,0,
0.659896,7.69501,0.479659,0.123406,0.719025,0.0203885,-0.00427193,0.694672,7.69647,0.480996,0.12367,0.720293,0.0203748,-0.00441972,0.693357,0,
0.760898,7.69613,0.518678,0.124667,0.718822,0.0203593,-0.00426164,0.694883,7.69796,0.51987,0.125018,0.72015,0.0203739,-0.00442393,0.693505,0,
0.820844,7.69664,0.541839,0.125355,0.718151,0.0202713,-0.00422456,0.695579,7.69886,0.543371,0.125833,0.71952,0.0203699,-0.00444242,0.694159,0,
0.880712,7.69705,0.564973,0.12601,0.718471,0.0201752,-0.00416826,0.695252,7.69971,0.566785,0.126646,0.719859,0.0203721,-0.00443248,0.693807,0,
0.938629,7.69743,0.587637,0.126611,0.717791,0.0200606,-0.00414112,0.695958,7.70056,0.589585,0.127437,0.719262,0.0203683,-0.00444998,0.694426,0,
0.960526,7.69743,0.587637,0.126611,0.717791,0.0200606,-0.00414112,0.695958,7.70086,0.598222,0.127737,0.718982,0.0203665,-0.0044582,0.694716,0,
1.0614,7.69729,0.596639,0.126699,0.717461,0.0199152,-0.00411353,0.696302,7.70225,0.638225,0.129127,0.718061,0.0203605,-0.00448519,0.695668,0,
1.12145,7.69823,0.660898,0.128377,0.716214,0.0197757,-0.00409409,0.697589,7.70301,0.661806,0.129948,0.717703,0.0203582,-0.00449566,0.696037,0,
1.18139,7.69836,0.684886,0.128895,0.715655,0.0197018,-0.00407314,0.698164,7.70374,0.68537,0.130768,0.717167,0.0203548,-0.00451131,0.696589,0,
1.23927,7.69836,0.684886,0.128895,0.715655,0.0197018,-0.00407314,0.698164,7.70442,0.70832,0.131568,0.716545,0.0203507,-0.00452948,0.697229,0,
1.26116,7.69817,0.717497,0.129383,0.714713,0.019593,-0.00407883,0.699131,7.70466,0.716843,0.131866,0.716278,0.020349,-0.00453728,0.697503,0,
1.31918,7.69817,0.740841,0.129836,0.714084,0.0195528,-0.00409568,0.699775,7.70528,0.739765,0.132666,0.715651,0.0203449,-0.00455557,0.698147,0,
1.34203,7.69787,0.750493,0.12982,0.713751,0.0195241,-0.00411384,0.700115,7.7055,0.7487,0.132979,0.715365,0.020343,-0.0045639,0.69844,0,
1.40203,7.69785,0.774092,0.13029,0.71281,0.0194951,-0.00415414,0.701074,7.70607,0.772288,0.133804,0.714423,0.0203369,-0.00459133,0.699404,0,
1.46191,7.69774,0.798,0.130747,0.712273,0.0194724,-0.00420453,0.701619,7.70659,0.795993,0.134634,0.713866,0.0203332,-0.0046075,0.699972,0,
1.52189,7.69758,0.822187,0.131194,0.711963,0.0194653,-0.00425718,0.701934,7.70707,0.81983,0.13547,0.713592,0.0203314,-0.00461546,0.700251,0,
1.58189,7.6974,0.846103,0.131631,0.710508,0.019509,-0.00432737,0.703406,7.6974,0.846103,0.131631,0.710508,0.019509,-0.00432737,0.703406,1,
1.63965,7.69716,0.868811,0.132049,0.709351,0.0195947,-0.00438499,0.70457,7.69716,0.868811,0.132049,0.709351,0.0195947,-0.00438499,0.70457,1,
