time,px,py,pz,qw,qx,qy,qz,pxHat,pyHat,pzHat,qwHat,qxHat,qyHat,qzHat,mode,
0.119744,7.69181,0.362757,0.119573,0.720474,0.020376,-0.00441439,0.693168,7.69209,0.369807,0.119818,0.718851,0.0203656,-0.00446204,0.694851,0,
0.17972,7.69226,0.375109,0.120008,0.719899,0.0203577,-0.00441027,0.693766,7.6923,0.376019,0.120034,0.719016,0.0203667,-0.00445719,0.69468,0,
0.239585,7.69257,0.383523,0.1203,0.720385,0.0203608,-0.00439602,0.693262,7.69258,0.384122,0.120315,0.719498,0.0203698,-0.00444307,0.694182,0,
0.297504,7.69286,0.39249,0.120613,0.719887,0.020345,-0.00439199,0.693779,7.69291,0.393118,0.120627,0.719055,0.0203669,-0.00445606,0.694641,0,
0.320516,7.69302,0.396704,0.120759,0.719653,0.0203435,-0.00439886,0.694022,7.69305,0.397163,0.120768,0.718823,0.0203654,-0.00446288,0.694881,0,
0.380411,7.69332,0.407887,0.121142,0.719703,0.0203346,-0.00439602,0.693971,7.69344,0.408441,0.12116,0.718852,0.0203656,-0.00446201,0.69485,0,
0.438238,7.69363,0.41974,0.121538,0.719436,0.0203026,-0.00436069,0.694248,7.69384,0.420352,0.121574,0.718608,0.0203641,-0.00446916,0.695103,0,
0.46028,7.69381,0.424622,0.121707,0.719117,0.0203005,-0.00437003,0.694579,7.69381,0.424622,0.121707,0.719117,0.0203005,-0.00437003,0.694579,1,
0.520246,7.69412,0.437789,0.122139,0.719464,0.0203102,-0.00433973,0.694219,7.69412,0.437789,0.122139,0.719464,0.0203102,-0.00433973,0.694219,1,
0.580075,7.69453,0.454007,0.122657,0.718578,0.0203105,-0.00437373,0.695136,7.69453,0.454007,0.122657,0.718578,0.0203105,-0.00437373,0.695136,1,
0.638011,7.69497,0.472549,0.123242,0.718916,0.0203483,-0.00431938,0.694785,7.69497,0.472549,0.123242,0.718916,0.0203483,-0.00431938,0.694785,1,
0.659896,7.69501,0.479659,0.123406,0.719025,0.0203885,-0.00427193,0.694672,7.69501,0.479659,0.123406,0.719025,0.0203885,-0.00427193,0.694672,1,
0.760898,7.69613,0.518678,0.124667,0.718822,0.0203593,-0.00426164,0.694883,7.69613,0.518678,0.124667,0.718822,0.0203593,-0.00426164,0.694883,1,
0.820844,7.69613,0.518678,0.124667,0.718822,0.0203593,-0.00426164,0.694883,7.69613,0.518678,0.124667,0.718822,0.0203593,-0.00426164,0.694883,1,
0.880712,7.69705,0.564973,0.12601,0.718471,0.0201752,-0.00416826,0.695252,7.69705,0.564973,0.12601,0.718471,0.0201752,-0.00416826,0.695252,1,
0.938629,7.69743,0.587637,0.126611,0.717791,0.0200606,-0.00414112,0.695958,7.69743,0.587637,0.126611,0.717791,0.0200606,-0.00414112,0.695958,1,
0.960526,7.69729,0.596639,0.126699,0.717461,0.0199152,-0.00411353,0.696302,7.69729,0.596639,0.126699,0.717461,0.0199152,-0.00411353,0.696302,1,
1.0614,7.69805,0.637198,0.127833,0.716568,0.019837,-0.00410347,0.697223,7.69805,0.637198,0.127833,0.716568,0.019837,-0.00410347,0.697223,1,
1.12145,7.69823,0.660898,0.128377,0.716214,0.0197757,-0.00409409,0.697589,7.69823,0.660898,0.128377,0.716214,0.0197757,-0.00409409,0.697589,1,
1.18139,7.69836,0.684886,0.128895,0.715655,0.0197018,-0.00407314,0.698164,7.69836,0.684886,0.128895,0.715655,0.0197018,-0.00407314,0.698164,1,
1.23927,7.69844,0.707937,0.129379,0.715021,0.0196366,-0.0040668,0.698815,7.69844,0.707937,0.129379,0.715021,0.0196366,-0.0040668,0.698815,1,
1.26116,7.69817,0.717497,0.129383,0.714713,0.019593,-0.00407883,0.699131,7.69817,0.717497,0.129383,0.714713,0.019593,-0.00407883,0.699131,1,
1.31918,7.69817,0.740841,0.129836,0.714084,0.0195528,-0.00409568,0.699775,7.69817,0.740841,0.129836,0.714084,0.0195528,-0.00409568,0.699775,1,
1.34203,7.69787,0.750493,0.12982,0.713751,0.0195241,-0.00411384,0.700115,7.69787,0.750493,0.12982,0.713751,0.0195241,-0.00411384,0.700115,1,
1.40203,7.69785,0.774092,0.13029,0.71281,0.0194951,-0.00415414,0.701074,7.69785,0.774092,0.13029,0.71281,0.0194951,-0.00415414,0.701074,1,
1.46191,7.69774,0.798,0.130747,0.712273,0.0194724,-0.00420453,0.701619,7.69774,0.798,0.130747,0.712273,0.0194724,-0.00420453,0.701619,1,
1.52189,7.69758,0.822187,0.131194,0.711963,0.0194653,-0.00425718,0.701934,7.69758,0.822187,0.131194,0.711963,0.0194653,-0.00425718,0.701934,1,
1.58189,7.6974,0.846103,0.131631,0.710508,0.019509,-0.00432737,0.703406,7.6974,0.846103,0.131631,0.710508,0.019509,-0.00432737,0.703406,1,
1.63965,7.69716,0.868811,0.132049,0.709351,0.0195947,-0.00438499,0.70457,7.69716,0.868811,0.132049,0.709351,0.0195947,-0.00438499,0.70457,1,
1.66266,7.69676,0.877949,0.131992,0.708908,0.0197261,-0.00441459,0.705012,7.69676,0.877949,0.131992,0.708908,0.0197261,-0.00441459,0.705012,1,
1.72251,7.69676,0.877949,0.131992,0.708908,0.0197261,-0.00441459,0.705012,7.69676,0.877949,0.131992,0.708908,0.0197261,-0.00441459,0.705012,1,
1.78242,7.69606,0.925314,0.1329,0.706916,0.0200824,-0.00449696,0.706998,7.69606,0.925314,0.1329,0.706916,0.0200824,-0.00449696,0.706998,1,
1.84043,7.69561,0.948196,0.133344,0.706553,0.0202487,-0.00451871,0.707356,7.69561,0.948196,0.133344,0.706553,0.0202487,-0.00451871,0.707356,1,
1.86229,7.69561,0.957279,0.133663,0.706437,0.020248,-0.00452203,0.707472,7.69561,0.957279,0.133663,0.706437,0.020248,-0.00452203,0.707472,1,
1.92032,7.69504,0.980046,0.134096,0.705689,0.0204081,-0.00457485,0.708213,7.69504,0.980046,0.134096,0.705689,0.0204081,-0.00457485,0.708213,1,
1.94334,7.6944,0.988983,0.133997,0.705397,0.0205838,-0.00460509,0.708499,7.6944,0.988983,0.133997,0.705397,0.0205838,-0.00460509,0.708499,1,
2.00315,7.69375,1.01252,0.134472,0.704244,0.0207386,-0.00466826,0.70964,7.69375,1.01252,0.134472,0.704244,0.0207386,-0.00466826,0.70964,1,
2.06303,7.69299,1.03632,0.134943,0.702511,0.020881,-0.00478998,0.711351,7.69299,1.03632,0.134943,0.702511,0.020881,-0.00478998,0.711351,1,
2.1231,7.69299,1.03632,0.134943,0.702511,0.020881,-0.00478998,0.711351,7.69299,1.03632,0.134943,0.702511,0.020881,-0.00478998,0.711351,1,
2.18295,7.6911,1.08408,0.135885,0.697577,0.0212525,-0.00502976,0.716177,7.6911,1.08408,0.135885,0.697577,0.0212525,-0.00502976,0.716177,1,
