time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,p16wx,p16wy,p16wz,p16wHatx,p16wHaty,p16wHatz,converged16,p17wx,p17wy,p17wz,p17wHatx,p17wHaty,p17wHatz,converged17,p18wx,p18wy,p18wz,p18wHatx,p18wHaty,p18wHatz,converged18,p19wx,p19wy,p19wz,p19wHatx,p19wHaty,p19wHatz,converged19,p20wx,p20wy,p20wz,p20wHatx,p20wHaty,p20wHatz,converged20,p21wx,p21wy,p21wz,p21wHatx,p21wHaty,p21wHatz,converged21,p22wx,p22wy,p22wz,p22wHatx,p22wHaty,p22wHatz,converged22,p23wx,p23wy,p23wz,p23wHatx,p23wHaty,p23wHatz,converged23,p24wx,p24wy,p24wz,p24wHatx,p24wHaty,p24wHatz,converged24,p25wx,p25wy,p25wz,p25wHatx,p25wHaty,p25wHatz,converged25,p26wx,p26wy,p26wz,p26wHatx,p26wHaty,p26wHatz,converged26,p27wx,p27wy,p27wz,p27wHatx,p27wHaty,p27wHatz,converged27,p28wx,p28wy,p28wz,p28wHatx,p28wHaty,p28wHatz,converged28,p29wx,p29wy,p29wz,p29wHatx,p29wHaty,p29wHatz,converged29,p30wx,p30wy,p30wz,p30wHatx,p30wHaty,p30wHatz,converged30,p31wx,p31wy,p31wz,p31wHatx,p31wHaty,p31wHatz,converged31,p32wx,p32wy,p32wz,p32wHatx,p32wHaty,p32wHatz,converged32,
0,4.18612,-3.39372,0.221635,4.23094,-4.84695,0.0708234,4.72166,-1.86,0.510818,5.08552,-2.39954,0.532284,0,4.72086,-1.86,0.324594,5.10047,-2.35301,0.238243,0,4.06192,-1.86,0.602491,4.01525,-2.18352,0.732213,0,5.06194,-1.86,0.157191,5.5387,-2.55685,-0.0254029,0,4.97146,-1.86,0.348659,5.48664,-2.39465,0.273926,0,5.20496,-1.86,0.320967,5.71833,-2.6079,0.215836,0,4.39337,-1.86,0.566147,4.57048,-2.33419,0.635254,0,4.2113,-1.86,0.678331,4.27125,-2.39156,0.801968,0,4.5502,-1.86,0.683571,4.80966,-2.40901,0.8051,0,4.09426,-1.86,0.131688,4.06966,-2.15419,-0.0870989,0,4.3409,-1.86,0.223128,4.49892,-2.19145,0.0734084,0,5.21407,-1.86,0.6508,5.70033,-2.6546,0.684289,0,4.33988,-1.86,0.683578,4.48223,-2.34037,0.825787,0,4.39849,-1.86,0.322313,4.58486,-2.29103,0.238602,0,4.93549,-1.86,0.71139,5.35826,-2.53968,0.807594,0,5.00105,-1.86,0.585262,5.49194,-2.47371,0.633493,0,4.20659,-1.86,0.142174,4.26549,-2.25744,-0.063338,0,4.58118,-1.86,0.278152,4.88196,-2.31952,0.163958,0,4.48749,-1.86,0.202287,4.75592,-2.17523,0.0371183,0,4.1964,-1.86,0.273407,4.24785,-2.32357,0.156002,0,4.82533,-1.86,0.24452,5.25974,-2.37846,0.107657,0,4.61318,-1.86,0.579708,4.91294,-2.39767,0.642651,0,4.6176,-1.86,0.398513,4.93063,-2.35985,0.357651,0,4.92069,-1.86,0.111989,5.38673,-2.43375,-0.101698,0,5.32345,-1.86,0.170147,5.87906,-2.62441,-0.00378892,0,4.83724,-1.86,0.5853,5.23294,-2.48673,0.630465,0,4.5215,-1.86,0.0996068,4.77169,-2.37403,-0.125932,0,4.09011,-1.86,0.244037,4.06047,-2.12377,0.110599,0,4.2579,-1.86,0.577768,4.351,-2.28147,0.666537,0,4.52736,-1.86,0.486658,4.79751,-2.30051,0.510842,0,4.50276,-1.86,0.373671,4.75203,-2.3229,0.32103,0,4.15401,-1.86,0.388437,4.17461,-2.1567,0.363407,0,5.38076,-1.86,0.0548934,5.90373,-2.69937,-0.162657,0,
0.033334,4.23164,-3.39754,0.221774,4.21631,-4.84336,0.0713058,4.72166,-1.86,0.510818,5.03061,-2.44122,0.52791,0,4.72086,-1.86,0.324594,5.0368,-2.41245,0.236737,0,4.06192,-1.86,0.602491,3.98026,-2.23947,0.717276,0,5.06194,-1.86,0.157191,5.4761,-2.59128,-0.0212006,0,4.97146,-1.86,0.348659,5.40446,-2.4637,0.270554,0,5.20496,-1.86,0.320967,5.63942,-2.65926,0.22187,0,4.39337,-1.86,0.566147,4.51454,-2.43328,0.614637,0,4.2113,-1.86,0.678331,4.23125,-2.45288,0.784081,0,4.5502,-1.86,0.683571,4.75178,-2.47528,0.78619,0,4.09426,-1.86,0.131688,4.03489,-2.21369,-0.0809713,0,4.3409,-1.86,0.223128,4.45107,-2.2595,0.0769843,0,5.21407,-1.86,0.6508,5.62688,-2.69744,0.676666,0,4.33988,-1.86,0.683578,4.43498,-2.41226,0.802686,0,4.39849,-1.86,0.322313,4.53233,-2.37135,0.234916,0,4.93549,-1.86,0.71139,5.30206,-2.57402,0.79911,0,5.00105,-1.86,0.585262,5.41937,-2.52398,0.62314,0,4.20659,-1.86,0.142174,4.22517,-2.33096,-0.0560509,0,4.58118,-1.86,0.278152,4.82064,-2.39896,0.162859,0,4.48749,-1.86,0.202287,4.69394,-2.26944,0.0428088,0,4.1964,-1.86,0.273407,4.20998,-2.38865,0.156453,0,4.82533,-1.86,0.24452,5.1942,-2.4332,0.110759,0,4.61318,-1.86,0.579708,4.85224,-2.46555,0.62763,0,4.6176,-1.86,0.398513,4.8663,-2.43622,0.349925,0,4.92069,-1.86,0.111989,5.31443,-2.4905,-0.0909689,0,5.32345,-1.86,0.170147,5.80521,-2.66047,0.00271213,0,4.83724,-1.86,0.5853,5.15619,-2.56407,0.615445,0,4.5215,-1.86,0.0996068,4.7139,-2.45094,-0.114276,0,4.09011,-1.86,0.244037,4.02528,-2.20085,0.111557,0,4.2579,-1.86,0.577768,4.30912,-2.34625,0.653402,0,4.52736,-1.86,0.486658,4.73922,-2.37599,0.499277,0,4.50276,-1.86,0.373671,4.69395,-2.40511,0.315028,0,4.15401,-1.86,0.388437,4.13645,-2.22711,0.358768,0,5.38076,-1.86,0.0548934,5.83571,-2.72843,-0.155315,0,
0.0666681,4.23164,-3.39754,0.221774,4.26104,-4.85418,0.0698354,4.72166,-1.86,0.510818,5.05285,-2.47164,0.520506,0,4.72086,-1.86,0.324594,5.04295,-2.478,0.23005,0,4.06192,-1.86,0.602491,4.01121,-2.31428,0.697548,0,5.06194,-1.86,0.157191,5.47301,-2.64857,-0.0208273,0,4.97146,-1.86,0.348659,5.39255,-2.54244,0.261536,0,5.20496,-1.86,0.320967,5.63282,-2.7147,0.215504,0,4.39337,-1.86,0.566147,4.54113,-2.47536,0.605365,0,4.2113,-1.86,0.678331,4.25826,-2.51049,0.768737,0,4.5502,-1.86,0.683571,4.76449,-2.54187,0.765412,0,4.09426,-1.86,0.131688,4.06402,-2.3063,-0.0766613,0,4.3409,-1.86,0.223128,4.46837,-2.34556,0.0760044,0,5.21407,-1.86,0.6508,5.6262,-2.74499,0.662545,0,4.33988,-1.86,0.683578,4.4558,-2.48097,0.783025,0,4.39849,-1.86,0.322313,4.54822,-2.45367,0.229898,0,4.93549,-1.86,0.71139,5.30115,-2.63331,0.779503,0,5.00105,-1.86,0.585262,5.40503,-2.60218,0.603579,0,4.20659,-1.86,0.142174,4.24979,-2.41586,-0.0528504,0,4.58118,-1.86,0.278152,4.82485,-2.48799,0.158935,0,4.48749,-1.86,0.202287,4.70362,-2.35867,0.0422817,0,4.1964,-1.86,0.273407,4.23743,-2.44948,0.153862,0,4.82533,-1.86,0.24452,5.16911,-2.55009,0.103263,0,4.61318,-1.86,0.579708,4.84938,-2.56739,0.605001,0,4.6176,-1.86,0.398513,4.86627,-2.53094,0.337979,0,4.92069,-1.86,0.111989,5.315,-2.55227,-0.0865832,0,5.32345,-1.86,0.170147,5.79322,-2.71687,0.00171398,0,4.83724,-1.86,0.5853,5.16113,-2.62445,0.599142,0,4.5215,-1.86,0.0996068,4.72826,-2.51897,-0.116139,0,4.09011,-1.86,0.244037,4.05547,-2.29285,0.110342,0,4.2579,-1.86,0.577768,4.33319,-2.41291,0.636695,0,4.52736,-1.86,0.486658,4.74914,-2.45516,0.483106,0,4.50276,-1.86,0.373671,4.70228,-2.495,0.30409,0,4.15401,-1.86,0.388437,4.1617,-2.33474,0.34602,0,5.38076,-1.86,0.0548934,5.83348,-2.77226,-0.153937,0,
0.100002,4.25752,-3.39983,0.221691,4.28744,-4.86057,0.0689678,4.72166,-1.86,0.510818,5.0347,-2.53831,0.508627,0,4.72086,-1.86,0.324594,5.01697,-2.56767,0.223084,0,4.06192,-1.86,0.602491,4.02312,-2.39101,0.679059,0,5.06194,-1.86,0.157191,5.4371,-2.72174,-0.0152391,0,4.97146,-1.86,0.348659,5.33706,-2.6579,0.25627,0,5.20496,-1.86,0.320967,5.60207,-2.77166,0.210702,0,4.39337,-1.86,0.566147,4.53883,-2.53961,0.590572,0,4.2113,-1.86,0.678331,4.26367,-2.57789,0.748026,0,4.5502,-1.86,0.683571,4.76194,-2.59191,0.751737,0,4.09426,-1.86,0.131688,4.07533,-2.38842,-0.071326,0,4.3409,-1.86,0.223128,4.45603,-2.49336,0.0786825,0,5.21407,-1.86,0.6508,5.59008,-2.80708,0.644399,0,4.33988,-1.86,0.683578,4.45372,-2.56157,0.75897,0,4.39849,-1.86,0.322313,4.54498,-2.53268,0.228299,0,4.93549,-1.86,0.71139,5.26729,-2.71292,0.753352,0,5.00105,-1.86,0.585262,5.38125,-2.66268,0.588092,0,4.20659,-1.86,0.142174,4.25591,-2.49226,-0.0519899,0,4.58118,-1.86,0.278152,4.80996,-2.57322,0.15645,0,4.48749,-1.86,0.202287,4.6841,-2.47932,0.0444872,0,4.1964,-1.86,0.273407,4.24391,-2.51638,0.151423,0,4.82533,-1.86,0.24452,5.12441,-2.67002,0.101913,0,4.61318,-1.86,0.579708,4.83018,-2.66102,0.583199,0,4.6176,-1.86,0.398513,4.85216,-2.60934,0.328901,0,4.92069,-1.86,0.111989,5.28158,-2.63337,-0.080379,0,5.32345,-1.86,0.170147,5.75692,-2.77463,0.00380535,0,4.83724,-1.86,0.5853,5.13598,-2.69867,0.581637,0,4.5215,-1.86,0.0996068,4.71481,-2.60717,-0.108636,0,4.09011,-1.86,0.244037,4.0671,-2.36754,0.108995,0,4.2579,-1.86,0.577768,4.33515,-2.49391,0.617977,0,4.52736,-1.86,0.486658,4.73555,-2.54378,0.467877,0,4.50276,-1.86,0.373671,4.68601,-2.60092,0.291357,0,4.15401,-1.86,0.388437,4.16964,-2.43219,0.335123,0,5.38076,-1.86,0.0548934,5.80813,-2.81486,-0.149707,0,
0.133336,4.25752,-3.39983,0.221691,4.3021,-4.86412,0.0684856,4.72166,-1.86,0.510818,5.0042,-2.60963,0.492469,0,4.72086,-1.86,0.324594,4.98716,-2.64095,0.216582,0,4.06192,-1.86,0.602491,4.02399,-2.4544,0.664309,0,5.06194,-1.86,0.157191,5.39599,-2.78473,-0.0139746,0,4.97146,-1.86,0.348659,5.29511,-2.73198,0.248377,0,5.20496,-1.86,0.320967,5.56335,-2.82217,0.205726,0,4.39337,-1.86,0.566147,4.52577,-2.60402,0.574332,0,4.2113,-1.86,0.678331,4.26307,-2.60295,0.739182,0,4.5502,-1.86,0.683571,4.74373,-2.64889,0.732702,0,4.09426,-1.86,0.131688,4.0751,-2.46279,-0.0692476,0,4.3409,-1.86,0.223128,4.44904,-2.5552,0.0726182,0,5.21407,-1.86,0.6508,5.55137,-2.85731,0.628481,0,4.33988,-1.86,0.683578,4.43788,-2.66079,0.724367,0,4.39849,-1.86,0.322313,4.53035,-2.6062,0.221687,0,4.93549,-1.86,0.71139,5.22752,-2.78327,0.728118,0,5.00105,-1.86,0.585262,5.34668,-2.71826,0.573119,0,4.20659,-1.86,0.142174,4.25164,-2.55451,-0.0509858,0,4.58118,-1.86,0.278152,4.78715,-2.64587,0.152173,0,4.48749,-1.86,0.202287,4.66178,-2.57308,0.0402245,0,4.1964,-1.86,0.273407,4.23861,-2.59012,0.149941,0,4.82533,-1.86,0.24452,5.09451,-2.73673,0.0968275,0,4.61318,-1.86,0.579708,4.80434,-2.73904,0.563273,0,4.6176,-1.86,0.398513,4.8334,-2.66551,0.3208,0,4.92069,-1.86,0.111989,5.2455,-2.69916,-0.0773414,0,5.32345,-1.86,0.170147,5.7158,-2.82284,0.00389164,0,4.83724,-1.86,0.5853,5.10802,-2.75569,0.567177,0,4.5215,-1.86,0.0996068,4.69476,-2.68122,-0.103704,0,4.09011,-1.86,0.244037,4.06751,-2.41537,0.109212,0,4.2579,-1.86,0.577768,4.32784,-2.56285,0.600216,0,4.52736,-1.86,0.486658,4.7151,-2.61736,0.4535,0,4.50276,-1.86,0.373671,4.66819,-2.67263,0.283542,0,4.15401,-1.86,0.388437,4.16887,-2.48268,0.328178,0,5.38076,-1.86,0.0548934,5.77362,-2.85276,-0.147818,0,
0.16667,4.29161,-3.40304,0.221295,4.31326,-4.86682,0.0681187,4.72166,-1.86,0.510818,4.96128,-2.72365,0.470126,0,4.72086,-1.86,0.324594,4.93387,-2.78623,0.208304,0,4.06192,-1.86,0.602491,4.02174,-2.4848,0.656125,0,5.06194,-1.86,0.157191,5.32656,-2.90284,-0.0123555,0,4.97146,-1.86,0.348659,5.21095,-2.89994,0.237014,0,5.20496,-1.86,0.320967,5.53,-2.86127,0.205852,0,4.39337,-1.86,0.566147,4.52308,-2.61215,0.569904,0,4.2113,-1.86,0.678331,4.25816,-2.61886,0.732677,0,4.5502,-1.86,0.683571,4.7236,-2.70319,0.713938,0,4.09426,-1.86,0.131688,4.07259,-2.49722,-0.0678043,0,4.3409,-1.86,0.223128,4.44101,-2.58736,0.071943,0,5.21407,-1.86,0.6508,5.52951,-2.88157,0.620697,0,4.33988,-1.86,0.683578,4.42938,-2.70416,0.708901,0,4.39849,-1.86,0.322313,4.51049,-2.69176,0.213347,0,4.93549,-1.86,0.71139,5.21732,-2.79872,0.722664,0,5.00105,-1.86,0.585262,5.31012,-2.77146,0.556732,0,4.20659,-1.86,0.142174,4.24476,-2.60398,-0.0496325,0,4.58118,-1.86,0.278152,4.77105,-2.68781,0.149141,0,4.48749,-1.86,0.202287,4.64345,-2.64002,0.0351516,0,4.1964,-1.86,0.273407,4.23263,-2.63931,0.149809,0,4.82533,-1.86,0.24452,5.06729,-2.78613,0.0971702,0,4.61318,-1.86,0.579708,4.78355,-2.79224,0.549846,0,4.6176,-1.86,0.398513,4.81517,-2.70871,0.313474,0,4.92069,-1.86,0.111989,5.23213,-2.7197,-0.0738114,0,5.32345,-1.86,0.170147,5.69002,-2.84988,0.000882685,0,4.83724,-1.86,0.5853,5.09026,-2.78531,0.557618,0,4.5215,-1.86,0.0996068,4.67537,-2.74032,-0.0993703,0,4.09011,-1.86,0.244037,4.06345,-2.46093,0.107577,0,4.2579,-1.86,0.577768,4.31996,-2.60931,0.586917,0,4.52736,-1.86,0.486658,4.70078,-2.65935,0.449891,0,4.50276,-1.86,0.373671,4.65094,-2.72659,0.276757,0,4.15401,-1.86,0.388437,4.16415,-2.51596,0.324143,0,5.38076,-1.86,0.0548934,5.67694,-2.97116,-0.138004,0,
0.200004,4.29161,-3.40304,0.221295,4.32293,-4.86913,0.0678019,4.72166,-1.86,0.510818,4.9501,-2.71801,0.469775,0,4.72086,-1.86,0.324594,4.92387,-2.78115,0.208826,0,4.06192,-1.86,0.602491,4.01885,-2.57202,0.630285,0,5.06194,-1.86,0.157191,5.31223,-2.90613,-0.00834949,0,4.97146,-1.86,0.348659,5.1997,-2.89891,0.237236,0,5.20496,-1.86,0.320967,5.48491,-2.91518,0.198929,0,4.39337,-1.86,0.566147,4.49337,-2.73745,0.541101,0,4.2113,-1.86,0.678331,4.24748,-2.68474,0.711938,0,4.5502,-1.86,0.683571,4.69237,-2.79692,0.685457,0,4.09426,-1.86,0.131688,4.06811,-2.56672,-0.0648209,0,4.3409,-1.86,0.223128,4.42499,-2.66082,0.0722021,0,5.21407,-1.86,0.6508,5.4833,-2.93513,0.606987,0,4.33988,-1.86,0.683578,4.41383,-2.77831,0.684981,0,4.39849,-1.86,0.322313,4.49549,-2.75828,0.209438,0,4.93549,-1.86,0.71139,5.16941,-2.87354,0.700748,0,5.00105,-1.86,0.585262,5.23514,-2.89102,0.52667,0,4.20659,-1.86,0.142174,4.23569,-2.68238,-0.0465361,0,4.58118,-1.86,0.278152,4.74399,-2.76131,0.144455,0,4.48749,-1.86,0.202287,4.61996,-2.72191,0.0344347,0,4.1964,-1.86,0.273407,4.22411,-2.71752,0.144231,0,4.82533,-1.86,0.24452,5.03317,-2.84986,0.0964115,0,4.61318,-1.86,0.579708,4.74422,-2.9018,0.524091,0,4.6176,-1.86,0.398513,4.78,-2.8014,0.303007,0,4.92069,-1.86,0.111989,5.19939,-2.76903,-0.0700424,0,5.32345,-1.86,0.170147,5.63785,-2.90488,0.00561852,0,4.83724,-1.86,0.5853,5.05582,-2.84662,0.547242,0,4.5215,-1.86,0.0996068,4.64552,-2.83942,-0.090727,0,4.09011,-1.86,0.244037,4.05968,-2.5495,0.10493,0,4.2579,-1.86,0.577768,4.3081,-2.68614,0.567444,0,4.52736,-1.86,0.486658,4.67513,-2.73578,0.435003,0,4.50276,-1.86,0.373671,4.62613,-2.80919,0.26881,0,4.15401,-1.86,0.388437,4.15697,-2.58693,0.314908,0,5.38076,-1.86,0.0548934,5.66079,-2.97645,-0.13181,0,
0.233338,4.31681,-3.40524,0.221235,4.33761,-4.87262,0.067321,4.72166,-1.86,0.510818,4.94675,-2.71749,0.464958,0,4.72086,-1.86,0.324594,4.92108,-2.78128,0.202386,0,4.06192,-1.86,0.602491,4.02411,-2.67248,0.601047,0,5.06194,-1.86,0.157191,5.30476,-2.91289,-0.0121818,0,4.97146,-1.86,0.348659,5.19326,-2.90405,0.233019,0,5.20496,-1.86,0.320967,5.45492,-2.95808,0.191989,0,4.39337,-1.86,0.566147,4.48481,-2.80333,0.522687,0,4.2113,-1.86,0.678331,4.24623,-2.72613,0.696615,0,4.5502,-1.86,0.683571,4.68578,-2.83037,0.671696,0,4.09426,-1.86,0.131688,4.06987,-2.61946,-0.0646428,0,4.3409,-1.86,0.223128,4.41731,-2.72575,0.0676263,0,5.21407,-1.86,0.6508,5.46014,-2.96819,0.59151,0,4.33988,-1.86,0.683578,4.41011,-2.81872,0.669307,0,4.39849,-1.86,0.322313,4.48273,-2.83797,0.199942,0,4.93549,-1.86,0.71139,5.14388,-2.92309,0.681813,0,5.00105,-1.86,0.585262,5.21665,-2.93033,0.51226,0,4.20659,-1.86,0.142174,4.23442,-2.7326,-0.0459762,0,4.58118,-1.86,0.278152,4.72973,-2.81495,0.138812,0,4.48749,-1.86,0.202287,4.60728,-2.78343,0.0325236,0,4.1964,-1.86,0.273407,4.22383,-2.78172,0.134441,0,4.82533,-1.86,0.24452,5.01543,-2.89169,0.0928099,0,4.61318,-1.86,0.579708,4.72418,-2.97431,0.503654,0,4.6176,-1.86,0.398513,4.76557,-2.85411,0.292548,0,4.92069,-1.86,0.111989,5.16773,-2.82969,-0.0704811,0,5.32345,-1.86,0.170147,5.59594,-2.95754,0.00286137,0,4.83724,-1.86,0.5853,5.03141,-2.89955,0.530794,0,4.5215,-1.86,0.0996068,4.63142,-2.90366,-0.0883624,0,4.09011,-1.86,0.244037,4.06416,-2.66771,0.0964352,0,4.2579,-1.86,0.577768,4.30638,-2.72515,0.556202,0,4.52736,-1.86,0.486658,4.66133,-2.79366,0.421963,0,4.50276,-1.86,0.373671,4.61151,-2.87685,0.258627,0,4.15401,-1.86,0.388437,4.15686,-2.64193,0.305905,0,5.38076,-1.86,0.0548934,5.64376,-2.99198,-0.133701,0,
0.266672,4.32549,-3.40619,0.220931,4.34863,-4.87528,0.0669589,4.72166,-1.86,0.510818,4.94216,-2.71911,0.467058,0,4.72086,-1.86,0.324594,4.91625,-2.78273,0.207155,0,4.06192,-1.86,0.602491,4.0243,-2.69404,0.598676,0,5.06194,-1.86,0.157191,5.30094,-2.9155,-0.00816036,0,4.97146,-1.86,0.348659,5.18814,-2.90598,0.233676,0,5.20496,-1.86,0.320967,5.44262,-2.9721,0.194952,0,4.39337,-1.86,0.566147,4.47869,-2.82794,0.520409,0,4.2113,-1.86,0.678331,4.24359,-2.73589,0.696604,0,4.5502,-1.86,0.683571,4.67959,-2.84271,0.669949,0,4.09426,-1.86,0.131688,4.06859,-2.62788,-0.0617403,0,4.3409,-1.86,0.223128,4.41033,-2.7604,0.0713814,0,5.21407,-1.86,0.6508,5.46372,-2.96431,0.597548,0,4.33988,-1.86,0.683578,4.40713,-2.82533,0.667586,0,4.39849,-1.86,0.322313,4.4793,-2.85248,0.20264,0,4.93549,-1.86,0.71139,5.12975,-2.94565,0.677551,0,5.00105,-1.86,0.585262,5.20449,-2.94641,0.511523,0,4.20659,-1.86,0.142174,4.232,-2.7452,-0.0422224,0,4.58118,-1.86,0.278152,4.72581,-2.82244,0.140866,0,4.48749,-1.86,0.202287,4.60233,-2.79741,0.0358633,0,4.1964,-1.86,0.273407,4.22129,-2.79973,0.140555,0,4.82533,-1.86,0.24452,5.01287,-2.89365,0.0939848,0,4.61318,-1.86,0.579708,4.71562,-2.99752,0.501715,0,4.6176,-1.86,0.398513,4.75638,-2.87559,0.293131,0,4.92069,-1.86,0.111989,5.15873,-2.84384,-0.0662798,0,5.32345,-1.86,0.170147,5.58437,-2.96996,0.00493168,0,4.83724,-1.86,0.5853,5.0184,-2.92306,0.528175,0,4.5215,-1.86,0.0996068,4.62893,-2.90892,-0.0874501,0,4.09011,-1.86,0.244037,4.06433,-2.69238,0.099163,0,4.2579,-1.86,0.577768,4.30219,-2.74299,0.55502,0,4.52736,-1.86,0.486658,4.65449,-2.81258,0.420963,0,4.50276,-1.86,0.373671,4.60611,-2.89317,0.259966,0,4.15401,-1.86,0.388437,4.15436,-2.66121,0.305123,0,5.38076,-1.86,0.0548934,5.63864,-2.99811,-0.130739,0,
0.300007,4.35023,-3.40798,0.220869,4.35831,-4.87759,0.0666416,4.72166,-1.86,0.510818,4.93637,-2.71578,0.467604,0,4.72086,-1.86,0.324594,4.9083,-2.77864,0.204839,0,4.06192,-1.86,0.602491,4.02095,-2.71766,0.589098,0,5.06194,-1.86,0.157191,5.29773,-2.91177,-0.0110817,0,4.97146,-1.86,0.348659,5.18087,-2.90142,0.233374,0,5.20496,-1.86,0.320967,5.43487,-2.97638,0.194745,0,4.39337,-1.86,0.566147,4.46999,-2.85207,0.515295,0,4.2113,-1.86,0.678331,4.23909,-2.73913,0.695456,0,4.5502,-1.86,0.683571,4.67402,-2.84688,0.668531,0,4.09426,-1.86,0.131688,4.06474,-2.62797,-0.060783,0,4.3409,-1.86,0.223128,4.40805,-2.75777,0.0699886,0,5.21407,-1.86,0.6508,5.4543,-2.96725,0.593205,0,4.33988,-1.86,0.683578,4.40068,-2.83624,0.662696,0,4.39849,-1.86,0.322313,4.47912,-2.83832,0.202617,0,4.93549,-1.86,0.71139,5.11977,-2.95574,0.673389,0,5.00105,-1.86,0.585262,5.19915,-2.94863,0.511687,0,4.20659,-1.86,0.142174,4.22803,-2.74586,-0.0427346,0,4.58118,-1.86,0.278152,4.72039,-2.82513,0.140883,0,4.48749,-1.86,0.202287,4.59809,-2.79855,0.0367736,0,4.1964,-1.86,0.273407,4.21738,-2.80138,0.138133,0,4.82533,-1.86,0.24452,5.0051,-2.89904,0.0952559,0,4.61318,-1.86,0.579708,4.71869,-2.9815,0.501988,0,4.6176,-1.86,0.398513,4.75002,-2.88267,0.292357,0,4.92069,-1.86,0.111989,5.14944,-2.8524,-0.064688,0,5.32345,-1.86,0.170147,5.56851,-2.9827,0.00759285,0,4.83724,-1.86,0.5853,5.01294,-2.92633,0.526568,0,4.5215,-1.86,0.0996068,4.62708,-2.90089,-0.0873347,0,4.09011,-1.86,0.244037,4.06063,-2.70774,0.0991296,0,4.2579,-1.86,0.577768,4.29823,-2.74507,0.553696,0,4.52736,-1.86,0.486658,4.64598,-2.8276,0.418334,0,4.50276,-1.86,0.373671,4.60032,-2.90243,0.262985,0,4.15401,-1.86,0.388437,4.14936,-2.68155,0.301678,0,5.38076,-1.86,0.0548934,5.63662,-2.99188,-0.130326,0,
0.33334,4.35023,-3.40798,0.220869,4.38373,-4.88331,0.0658187,4.72166,-1.86,0.510818,4.89062,-2.90503,0.431046,0,4.72086,-1.86,0.324594,4.86421,-2.96656,0.190949,0,4.06192,-1.86,0.602491,4.05406,-2.88316,0.548317,0,5.06194,-1.86,0.157191,5.30379,-2.91053,-0.0119138,0,4.97146,-1.86,0.348659,5.114,-3.07354,0.216166,0,5.20496,-1.86,0.320967,5.43391,-2.99275,0.189522,0,4.39337,-1.86,0.566147,4.47288,-2.8971,0.50434,0,4.2113,-1.86,0.678331,4.24614,-2.77031,0.684514,0,4.5502,-1.86,0.683571,4.67361,-2.88304,0.656587,0,4.09426,-1.86,0.131688,4.07347,-2.66716,-0.0595919,0,4.3409,-1.86,0.223128,4.4061,-2.92807,0.0720335,0,5.21407,-1.86,0.6508,5.43532,-3.00783,0.586759,0,4.33988,-1.86,0.683578,4.40645,-2.86613,0.652929,0,4.39849,-1.86,0.322313,4.47648,-2.90294,0.196678,0,4.93549,-1.86,0.71139,5.12206,-2.97243,0.663312,0,5.00105,-1.86,0.585262,5.19264,-2.97711,0.501018,0,4.20659,-1.86,0.142174,4.23498,-2.7815,-0.0411975,0,4.58118,-1.86,0.278152,4.71728,-2.86851,0.138475,0,4.48749,-1.86,0.202287,4.59629,-2.8471,0.0373254,0,4.1964,-1.86,0.273407,4.22485,-2.84124,0.139933,0,4.82533,-1.86,0.24452,4.99982,-2.9329,0.0936354,0,4.61318,-1.86,0.579708,4.72148,-3.00032,0.497847,0,4.6176,-1.86,0.398513,4.74769,-2.92198,0.286441,0,4.92069,-1.86,0.111989,5.13705,-2.89541,-0.0643213,0,5.32345,-1.86,0.170147,5.54914,-3.01982,0.00639864,0,4.83724,-1.86,0.5853,5.00206,-2.97094,0.51607,0,4.5215,-1.86,0.0996068,4.62734,-2.93588,-0.0861022,0,4.09011,-1.86,0.244037,4.0708,-2.74208,0.0987007,0,4.2579,-1.86,0.577768,4.303,-2.79188,0.541773,0,4.52736,-1.86,0.486658,4.64377,-2.87638,0.410764,0,4.50276,-1.86,0.373671,4.59974,-2.94613,0.256519,0,4.15401,-1.86,0.388437,4.15781,-2.74783,0.293755,0,5.38076,-1.86,0.0548934,5.64142,-2.99044,-0.131291,0,
